#date+time,033-pwl,033-surge,033-atp,033-wtp,033-wsd,033-bpr
# 033-wtp: Times are Coordinated Universal Time (UTC)
# 033-wtp: Water Temperature (degC)
# 033-wtp: <img src="http://lighthouse.tamucc.edu/dnrpub/CIAP/DIO-MMS.jpg" height="64" width="64" style="float: left"/>
# 033-wtp: <img src="http://lighthouse.tamucc.edu/dnrpub/CIAP/USFWS.jpg" height="64" width="64"  style="float: right"/>
# 033-wtp: <p>This station upgrade was funded with qualified outer continental shelf oil and gas revenues by the Coastal Impact Assistance Program, U.S. Fish and Wildlife Service, U.S. Department of the Interior.</p>
# 033-wtp: <br clear="all" />
# 033-wtp: NOTICE: These raw data are from the Texas Coastal Ocean Observation Network (TCOON), a State of Texas coastal observing system that adheres to National Ocean Service (NOS) data collection standards. Tidal datums and predictions are produced by the Conrad Blucher Institute for Surveying and Science at Texas A&M University, Corpus Christi.
# ------------------------------------------------------------------------------
# 033-wsd: generated Fri May  2 15:35:06 2014 UTC
# 033-wsd: Port Lavaca (28.6404,-96.6097 gps)
# 033-wsd: Times are Coordinated Universal Time (UTC)
# 033-wsd: Wind Speed (m/s)
# 033-wsd: <img src="http://lighthouse.tamucc.edu/dnrpub/CIAP/DIO-MMS.jpg" height="64" width="64" style="float: left"/>
# 033-wsd: <img src="http://lighthouse.tamucc.edu/dnrpub/CIAP/USFWS.jpg" height="64" width="64"  style="float: right"/>
# 033-wsd: <p>This station upgrade was funded with qualified outer continental shelf oil and gas revenues by the Coastal Impact Assistance Program, U.S. Fish and Wildlife Service, U.S. Department of the Interior.</p>
# 033-wsd: <br clear="all" />
# 033-wsd: NOTICE: These raw data are from the Texas Coastal Ocean Observation Network (TCOON), a State of Texas coastal observing system that adheres to National Ocean Service (NOS) data collection standards. Tidal datums and predictions are produced by the Conrad Blucher Institute for Surveying and Science at Texas A&M University, Corpus Christi.
# ------------------------------------------------------------------------------
# 033-bpr: generated Fri May  2 15:35:06 2014 UTC
# 033-bpr: Port Lavaca (28.6404,-96.6097 gps)
# 033-bpr: Times are Coordinated Universal Time (UTC)
# 033-bpr: Barometric Pressure (millibars)
# 033-bpr: <img src="http://lighthouse.tamucc.edu/dnrpub/CIAP/DIO-MMS.jpg" height="64" width="64" style="float: left"/>
# 033-bpr: <img src="http://lighthouse.tamucc.edu/dnrpub/CIAP/USFWS.jpg" height="64" width="64"  style="float: right"/>
# 033-bpr: <p>This station upgrade was funded with qualified outer continental shelf oil and gas revenues by the Coastal Impact Assistance Program, U.S. Fish and Wildlife Service, U.S. Department of the Interior.</p>
# 033-bpr: <br clear="all" />
# 033-bpr: NOTICE: These raw data are from the Texas Coastal Ocean Observation Network (TCOON), a State of Texas coastal observing system that adheres to National Ocean Service (NOS) data collection standards. Tidal datums and predictions are produced by the Conrad Blucher Institute for Surveying and Science at Texas A&M University, Corpus Christi.
# ------------------------------------------------------------------------------
